entity_id,type,order_id,amount,fee,tax,settled_amount,settlement_id,settlement_utr,settled_at
pay_200057RP,payment,order_300058RP,863126,20370,3667,839089,setl_100013RP,2026000178vxp0rj,2026-07-09
pay_200058RP,payment,order_300059RP,602810,14226,2561,586023,setl_100014RP,2026000186vxp0rj,2026-07-12
pay_200059RP,payment,order_300060RP,40395,953,172,39270,setl_100014RP,2026000186vxp0rj,2026-07-12
pay_200060RP,payment,order_300061RP,752951,17770,3199,731982,setl_100014RP,2026000186vxp0rj,2026-07-12
pay_200061RP,payment,order_300062RP,33461,790,142,32529,setl_100015RP,2026000200vxp0rj,2026-07-12
pay_200062RP,payment,order_300063RP,394383,9307,1675,383401,setl_100015RP,2026000200vxp0rj,2026-07-12
pay_200063RP,payment,order_300064RP,351151,8287,1492,341372,setl_100015RP,2026000200vxp0rj,2026-07-12
pay_200064RP,payment,order_300065RP,522617,12334,2220,508063,setl_100015RP,2026000200vxp0rj,2026-07-12
pay_200065RP,payment,order_300066RP,427180,10081,1815,415284,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200066RP,payment,order_300067RP,787652,18589,3346,765717,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200067RP,payment,order_300068RP,858041,20250,3645,834146,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200068RP,payment,order_300069RP,622000,14679,2642,604679,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200069RP,payment,order_300070RP,516466,12189,2194,502083,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200070RP,payment,order_300071RP,376221,8879,1598,365744,setl_100016RP,2026000209vxp0rj,2026-08-14
pay_200071RP,payment,order_300072RP,581732,13729,2471,565532,setl_100017RP,2026000229vxp0rj,2026-07-26
pay_200072RP,payment,order_300073RP,84056,1984,357,81715,setl_100017RP,2026000229vxp0rj,2026-07-26
pay_200073RP,payment,order_300074RP,171104,4038,727,166339,setl_100018RP,2026000242vxp0rj,2026-07-05
pay_200074RP,payment,order_300075RP,325747,7688,1384,316675,setl_100018RP,2026000242vxp0rj,2026-07-05
pay_200075RP,payment,order_300076RP,75641,1785,321,73535,setl_100018RP,2026000242vxp0rj,2026-07-05
pay_200076RP,payment,order_300077RP,118174,2789,502,114883,setl_100019RP,2026000256vxp0rj,2026-08-06
pay_200077RP,payment,order_300078RP,346241,8171,1471,336599,setl_100019RP,2026000256vxp0rj,2026-08-06
pay_200078RP,payment,order_300079RP,52086,1229,221,50636,setl_100019RP,2026000256vxp0rj,2026-08-06
pay_200079RP,payment,order_300080RP,159139,3756,676,154707,setl_100020RP,2026000267vxp0rj,2026-07-14
pay_200080RP,payment,order_300081RP,249364,5885,1059,242420,setl_100020RP,2026000267vxp0rj,2026-07-14
pay_200081RP,payment,order_300082RP,332129,7838,1411,322880,setl_100020RP,2026000267vxp0rj,2026-07-14
pay_200082RP,payment,order_300083RP,346722,8183,1473,337066,setl_100020RP,2026000267vxp0rj,2026-07-14
pay_200083RP,payment,order_300084RP,136773,3228,581,132964,setl_100020RP,2026000267vxp0rj,2026-07-14
pay_200084RP,payment,order_300085RP,768475,18136,3264,747075,setl_100020RP,2026000267vxp0rj,2026-07-14
